legajo;concepto;fecha;cant
1732632;9006;06/03/2020;1
1623482;9000;07/02/2020;1
1623482;9000;08/02/2020;1
1623482;9000;09/02/2020;1
1623482;9000;10/02/2020;1
1623482;9000;11/02/2020;1
1623482;9000;12/02/2020;1
1623482;9000;13/02/2020;1
1623482;9000;14/02/2020;1
1623482;9000;15/02/2020;1
1623482;9000;16/02/2020;1
1762531;9001;07/02/2020;1
1762531;9001;08/02/2020;1
1762531;9001;15/02/2020;1
1762531;9001;26/02/2020;1
1762531;9001;27/02/2020;1
1762531;9001;05/03/2020;1
1762531;9001;06/03/2020;1
1710110;9007;15/02/2020;1
1710110;9001;17/02/2020;1
1710110;9001;18/02/2020;1
1771654;9001;27/02/2020;1
1771654;9001;28/02/2020;1
1771654;9001;29/02/2020;1
1771654;9001;01/03/2020;1
1771654;9001;02/03/2020;1
1771654;9001;03/03/2020;1
1771654;9001;04/03/2020;1
1771654;9001;05/03/2020;1
1771654;9001;06/03/2020;1
1817658;9000;02/03/2020;1
1817658;9000;03/03/2020;1
1817658;9000;04/03/2020;1
1817658;9000;05/03/2020;1
1817658;9000;06/03/2020;1
1701141;9000;07/02/2020;1
1701141;9000;08/02/2020;1
1701141;9000;09/02/2020;1
1701141;9000;10/02/2020;1
1701141;9000;11/02/2020;1
1701141;9000;12/02/2020;1
1701141;9000;13/02/2020;1
1701141;9000;14/02/2020;1
1701141;9000;15/02/2020;1
1701141;9000;16/02/2020;1
1696554;9000;07/02/2020;1
1696554;9000;08/02/2020;1
1696554;9000;09/02/2020;1
1696554;9000;10/02/2020;1
1696554;9000;11/02/2020;1
1696554;9000;12/02/2020;1
1696554;9000;13/02/2020;1
1696554;9000;14/02/2020;1
1696554;9000;15/02/2020;1
1696554;9000;16/02/2020;1
1638618;9006;26/02/2020;1
1624303;9000;02/03/2020;1
1624303;9000;03/03/2020;1
1624303;9000;04/03/2020;1
1624303;9000;05/03/2020;1
1624303;9000;06/03/2020;1
1710679;9000;07/02/2020;1
1710679;9000;10/02/2020;1
1710679;9000;11/02/2020;1
1710679;9000;12/02/2020;1
1710679;9000;13/02/2020;1
1710679;9000;14/02/2020;1
1710679;9000;17/02/2020;1
1710679;9000;18/02/2020;1
1710679;9000;19/02/2020;1
1710679;9000;20/02/2020;1
1710679;9000;21/02/2020;1
1694972;9000;07/02/2020;1
1694972;9000;08/02/2020;1
1694972;9000;09/02/2020;1
1694972;9000;10/02/2020;1
1694972;9000;11/02/2020;1
1694972;9000;12/02/2020;1
1694972;9000;13/02/2020;1
1694972;9000;14/02/2020;1
1694972;9000;15/02/2020;1
1694972;9000;16/02/2020;1
1688483;9000;26/02/2020;1
1688483;9000;27/02/2020;1
1688483;9000;28/02/2020;1
1688483;9000;29/02/2020;1
1688483;9000;01/03/2020;1
1688483;9000;02/03/2020;1
1688483;9000;03/03/2020;1
1691827;9000;07/02/2020;1
1691827;9000;08/02/2020;1
1691827;9000;09/02/2020;1
1691827;9000;10/02/2020;1
1691827;9000;11/02/2020;1
1691827;9000;12/02/2020;1
1691827;9000;13/02/2020;1
1691827;9000;14/02/2020;1
1691827;9000;15/02/2020;1
1691827;9000;16/02/2020;1
1691827;9000;17/02/2020;1
1691827;9000;18/02/2020;1
1691827;9000;19/02/2020;1
1691827;9000;20/02/2020;1
1691827;9000;21/02/2020;1
1691827;9000;22/02/2020;1
1691827;9000;23/02/2020;1
1738439;9000;07/02/2020;1
1738439;9000;08/02/2020;1
1738439;9000;09/02/2020;1
1738439;9000;10/02/2020;1
1738439;9000;11/02/2020;1
1738439;9000;12/02/2020;1
1738439;9000;13/02/2020;1
1738439;9000;14/02/2020;1
1738439;9000;15/02/2020;1
1738439;9000;16/02/2020;1
1651964;9000;17/02/2020;1
1651964;9000;18/02/2020;1
1651964;9000;19/02/2020;1
1651964;9000;20/02/2020;1
1651964;9000;21/02/2020;1
1651964;9000;22/02/2020;1
1651964;9000;23/02/2020;1
1651964;9000;24/02/2020;1
1651964;9000;25/02/2020;1
1651964;9000;26/02/2020;1
1651964;9000;27/02/2020;1
1651964;9000;28/02/2020;1
1651964;9000;29/02/2020;1
1651964;9000;01/03/2020;1
1651964;9000;02/03/2020;1
1651964;9000;03/03/2020;1
1651964;9000;04/03/2020;1
1651964;9000;05/03/2020;1
1651964;9000;06/03/2020;1
1696561;9000;10/02/2020;1
1696561;9000;11/02/2020;1
1696561;9000;12/02/2020;1
1696561;9000;13/02/2020;1
1696561;9000;14/02/2020;1
1696561;9000;15/02/2020;1
1696561;9000;16/02/2020;1
1696561;9000;17/02/2020;1
1696561;9000;18/02/2020;1
1696561;9000;19/02/2020;1
1696561;9000;20/02/2020;1
1696561;9000;21/02/2020;1
1696561;9000;22/02/2020;1
1696561;9000;23/02/2020;1
1696561;9003;02/03/2020;1
1696561;9003;03/03/2020;1
1627125;9000;07/02/2020;1
1627125;9000;08/02/2020;1
1627125;9000;09/02/2020;1
1627125;9000;10/02/2020;1
1627125;9000;11/02/2020;1
1627125;9000;12/02/2020;1
1627125;9000;13/02/2020;1
1627125;9000;14/02/2020;1
1627125;9000;15/02/2020;1
1627125;9000;16/02/2020;1
1627125;9000;17/02/2020;1
1627125;9000;18/02/2020;1
1627125;9000;19/02/2020;1
1627125;9000;20/02/2020;1
1627125;9000;21/02/2020;1
1627125;9000;22/02/2020;1
1627125;9000;23/02/2020;1
1690381;9002;27/02/2020;1
1690381;9002;28/02/2020;1
1690381;9002;29/02/2020;1
1690381;9002;01/03/2020;1
1690381;9002;02/03/2020;1
1690381;9002;03/03/2020;1
1690381;9002;04/03/2020;1
1690381;9002;05/03/2020;1
1690381;9002;06/03/2020;1
1699640;9000;26/02/2020;1
1699640;9000;27/02/2020;1
1699640;9000;28/02/2020;1
1699640;9000;29/02/2020;1
1699640;9000;01/03/2020;1
1699640;9000;02/03/2020;1
1699640;9000;03/03/2020;1
1699640;9000;04/03/2020;1
1699640;9000;05/03/2020;1
1699640;9000;06/03/2020;1
1640448;9000;10/02/2020;1
1640448;9000;11/02/2020;1
1640448;9000;12/02/2020;1
1640448;9000;13/02/2020;1
1640448;9000;14/02/2020;1
1640448;9000;15/02/2020;1
1640448;9000;16/02/2020;1
1640448;9000;17/02/2020;1
1640448;9000;18/02/2020;1
1640448;9000;19/02/2020;1
1640448;9000;20/02/2020;1
1640448;9000;21/02/2020;1
1640448;9000;22/02/2020;1
1640448;9000;23/02/2020;1
1738436;9000;17/02/2020;1
1738436;9000;18/02/2020;1
1738436;9000;19/02/2020;1
1738436;9000;20/02/2020;1
1738436;9000;21/02/2020;1
1738436;9000;22/02/2020;1
1738436;9000;23/02/2020;1
1738436;9000;02/03/2020;1
1626287;9000;07/02/2020;1
1626287;9000;08/02/2020;1
1626287;9000;09/02/2020;1
1626287;9000;10/02/2020;1
1626287;9000;11/02/2020;1
1626287;9000;12/02/2020;1
1626287;9000;13/02/2020;1
1626287;9000;14/02/2020;1
1626287;9000;15/02/2020;1
1626287;9000;16/02/2020;1
1626287;9001;21/02/2020;1
1626287;9001;22/02/2020;1
1626287;9001;23/02/2020;1
1626287;9013;28/02/2020;1
1626287;9006;29/02/2020;1
1627124;9000;02/03/2020;1
1627124;9000;03/03/2020;1
1627124;9000;04/03/2020;1
1627124;9000;05/03/2020;1
1627124;9000;06/03/2020;1
1678510;9000;10/02/2020;1
1678510;9000;11/02/2020;1
1678510;9000;12/02/2020;1
1678510;9000;13/02/2020;1
1678510;9000;14/02/2020;1
1678510;9000;15/02/2020;1
1678510;9000;16/02/2020;1
1678510;9000;17/02/2020;1
1678510;9000;18/02/2020;1
1678510;9000;19/02/2020;1
1678510;9000;20/02/2020;1
1678510;9000;21/02/2020;1
1678510;9000;22/02/2020;1
1678510;9000;23/02/2020;1
1678510;9001;03/03/2020;1
1678510;9001;04/03/2020;1
1678510;9001;05/03/2020;1
1678510;9001;06/03/2020;1
1638623;9000;02/03/2020;1
1638623;9000;03/03/2020;1
1638623;9000;04/03/2020;1
1638623;9000;05/03/2020;1
1638623;9000;06/03/2020;1
1779489;9002;07/02/2020;1
1779489;9002;08/02/2020;1
1779489;9002;09/02/2020;1
1779489;9002;10/02/2020;1
1779489;9002;11/02/2020;1
1779489;9002;12/02/2020;1
1779489;9002;13/02/2020;1
1779489;9002;14/02/2020;1
1779489;9002;15/02/2020;1
1779489;9002;16/02/2020;1
1779489;9002;17/02/2020;1
1779489;9002;18/02/2020;1
1779489;9002;19/02/2020;1
1779489;9002;20/02/2020;1
1779489;9002;21/02/2020;1
1779489;9002;22/02/2020;1
1779489;9002;23/02/2020;1
1779489;9002;24/02/2020;1
1779489;9002;25/02/2020;1
1779489;9002;26/02/2020;1
1779489;9002;27/02/2020;1
1779489;9002;28/02/2020;1
1779489;9002;29/02/2020;1
1779489;9002;01/03/2020;1
1779489;9002;02/03/2020;1
1779489;9002;03/03/2020;1
1779489;9002;04/03/2020;1
1779489;9002;05/03/2020;1
1779489;9002;06/03/2020;1
1640457;9000;07/02/2020;1
1640457;9000;08/02/2020;1
1640457;9000;09/02/2020;1
1640457;9000;10/02/2020;1
1640457;9000;11/02/2020;1
1640457;9000;12/02/2020;1
1640457;9000;13/02/2020;1
1640457;9000;14/02/2020;1
1640457;9000;15/02/2020;1
1640457;9000;16/02/2020;1
1640457;9000;17/02/2020;1
1640457;9000;18/02/2020;1
1640457;9000;19/02/2020;1
1640457;9000;20/02/2020;1
1640457;9000;21/02/2020;1
1640457;9000;22/02/2020;1
1640457;9000;23/02/2020;1
1705853;9000;02/03/2020;1
1705853;9000;03/03/2020;1
1705853;9000;04/03/2020;1
1705853;9000;05/03/2020;1
1705853;9000;06/03/2020;1
1759727;9001;17/02/2020;1
1759727;9000;02/03/2020;1
1759727;9000;03/03/2020;1
1759727;9000;04/03/2020;1
1759727;9000;05/03/2020;1
1759727;9000;06/03/2020;1
1688470;9000;07/02/2020;1
1688470;9000;08/02/2020;1
1688470;9000;09/02/2020;1
1688470;9000;10/02/2020;1
1688470;9000;11/02/2020;1
1688470;9000;12/02/2020;1
1688470;9000;13/02/2020;1
1688470;9000;14/02/2020;1
1688470;9000;15/02/2020;1
1688470;9000;16/02/2020;1
1688470;9000;17/02/2020;1
1688470;9000;18/02/2020;1
1688470;9000;19/02/2020;1
1688470;9000;20/02/2020;1
1688470;9000;21/02/2020;1
1688470;9000;22/02/2020;1
1688470;9000;23/02/2020;1
1612401;9012;12/02/2020;1
1612401;9012;13/02/2020;1
1628433;9012;11/02/2020;1
1628433;9012;12/02/2020;1
1699728;9009;17/02/2020;1
1709303;9000;10/02/2020;1
1709303;9000;11/02/2020;1
1709303;9000;12/02/2020;1
1709303;9000;13/02/2020;1
1709303;9000;14/02/2020;1
1709303;9000;15/02/2020;1
1709303;9000;16/02/2020;1
1709303;9000;17/02/2020;1
1709303;9000;18/02/2020;1
1709303;9000;19/02/2020;1
1709303;9000;20/02/2020;1
1709303;9000;21/02/2020;1
1709303;9000;22/02/2020;1
1709303;9000;23/02/2020;1
1709303;9000;02/03/2020;1
1709303;9000;03/03/2020;1
1709303;9000;04/03/2020;1
1709303;9000;05/03/2020;1
1709303;9000;06/03/2020;1
1732633;9000;07/02/2020;1
1732633;9000;08/02/2020;1
1732633;9000;09/02/2020;1
1732633;9000;10/02/2020;1
1732633;9000;11/02/2020;1
1732633;9000;12/02/2020;1
1732633;9000;13/02/2020;1
1732633;9000;14/02/2020;1
1732633;9000;15/02/2020;1
1732633;9000;16/02/2020;1
1657943;9000;07/02/2020;1
1657943;9000;08/02/2020;1
1657943;9000;09/02/2020;1
1657943;9000;10/02/2020;1
1657943;9000;11/02/2020;1
1657943;9000;12/02/2020;1
1657943;9000;13/02/2020;1
1657943;9000;14/02/2020;1
1657943;9000;15/02/2020;1
1657943;9000;16/02/2020;1
1657943;9000;17/02/2020;1
1657943;9000;18/02/2020;1
1657943;9000;19/02/2020;1
1657943;9000;20/02/2020;1
1657943;9000;21/02/2020;1
1657943;9000;22/02/2020;1
1657943;9000;23/02/2020;1
1710685;9000;07/02/2020;1
1710685;9000;08/02/2020;1
1710685;9000;09/02/2020;1
1748390;9006;28/02/2020;1
1748389;9001;07/02/2020;1
1748389;9001;08/02/2020;1
1748389;9001;10/02/2020;1
1748389;9006;11/02/2020;1
1653240;9000;07/02/2020;1
1653240;9000;08/02/2020;1
1653240;9000;09/02/2020;1
1723264;9001;07/02/2020;1
1723264;9001;08/02/2020;1
1723264;9001;09/02/2020;1
1723264;9001;10/02/2020;1
1723264;9001;11/02/2020;1
1723264;9001;12/02/2020;1
1723264;9001;13/02/2020;1
1723264;9001;14/02/2020;1
1723264;9001;15/02/2020;1
1723264;9001;16/02/2020;1
1723264;9001;17/02/2020;1
1723264;9001;18/02/2020;1
1723264;9001;19/02/2020;1
1723264;9001;20/02/2020;1
1723264;9001;21/02/2020;1
1723264;9001;22/02/2020;1
1723264;9001;23/02/2020;1
1723264;9001;24/02/2020;1
1723264;9001;25/02/2020;1
1723264;9001;26/02/2020;1
1723264;9001;27/02/2020;1
1723264;9001;28/02/2020;1
1723264;9001;29/02/2020;1
1723264;9001;01/03/2020;1
1723264;9001;02/03/2020;1
1723264;9001;03/03/2020;1
1723264;9001;04/03/2020;1
1723264;9001;05/03/2020;1
1723264;9001;06/03/2020;1
1811069;9000;02/03/2020;1
1811069;9000;03/03/2020;1
1811069;9000;04/03/2020;1
1811069;9000;05/03/2020;1
1811069;9000;06/03/2020;1
1651968;9000;26/02/2020;1
1651968;9000;27/02/2020;1
1651968;9000;28/02/2020;1
1651968;9000;29/02/2020;1
1651968;9000;01/03/2020;1
1651968;9000;02/03/2020;1
1651968;9000;03/03/2020;1
1651968;9000;04/03/2020;1
1651968;9000;05/03/2020;1
1651968;9000;06/03/2020;1
1693492;9000;03/03/2020;1
1693492;9012;03/03/2020;1
1693492;9012;04/03/2020;1
1693492;9012;05/03/2020;1
1693492;9012;06/03/2020;1
1817396;9000;10/02/2020;1
1817396;9000;11/02/2020;1
1817396;9000;12/02/2020;1
1817396;9000;13/02/2020;1
1817396;9000;14/02/2020;1
1817396;9000;15/02/2020;1
1817396;9000;16/02/2020;1
1817396;9000;17/02/2020;1
1817396;9000;18/02/2020;1
1817396;9000;19/02/2020;1
1817396;9000;20/02/2020;1
1817396;9000;21/02/2020;1
1817396;9000;22/02/2020;1
1817396;9000;23/02/2020;1
1709304;9000;10/02/2020;1
1709304;9000;11/02/2020;1
1709304;9000;12/02/2020;1
1709304;9000;13/02/2020;1
1709304;9000;14/02/2020;1
1709304;9000;15/02/2020;1
1709304;9000;16/02/2020;1
1709304;9000;17/02/2020;1
1709304;9000;18/02/2020;1
1709304;9000;19/02/2020;1
1709304;9000;20/02/2020;1
1709304;9000;21/02/2020;1
1709304;9000;22/02/2020;1
1709304;9000;23/02/2020;1
1657945;9006;21/02/2020;1
1657945;9006;22/02/2020;1
1657945;9006;26/02/2020;1
1657945;9006;27/02/2020;1
1657945;9006;28/02/2020;1
1657945;9006;29/02/2020;1
1657945;9006;02/03/2020;1
1657945;9006;03/03/2020;1
1657945;9006;04/03/2020;1
1657945;9006;05/03/2020;1
1657945;9006;06/03/2020;1
1661029;9000;26/02/2020;1
1661029;9000;27/02/2020;1
1661029;9000;28/02/2020;1
1661029;9000;29/02/2020;1
1661029;9000;01/03/2020;1
1661029;9000;02/03/2020;1
1661029;9000;03/03/2020;1
1661029;9000;04/03/2020;1
1661029;9000;05/03/2020;1
1661029;9000;06/03/2020;1
1739355;9001;26/02/2020;1
1739355;9001;27/02/2020;1
1739355;9001;28/02/2020;1
1739355;9001;29/02/2020;1
1739355;9001;01/03/2020;1
1739355;9001;02/03/2020;1
1739355;9001;03/03/2020;1
1739355;9001;04/03/2020;1
1739355;9001;05/03/2020;1
1739355;9001;06/03/2020;1
1651969;9000;10/02/2020;1
1651969;9000;11/02/2020;1
1651969;9000;12/02/2020;1
1651969;9000;13/02/2020;1
1651969;9000;14/02/2020;1
1651969;9000;15/02/2020;1
1651969;9000;16/02/2020;1
1651969;9000;17/02/2020;1
1651969;9000;18/02/2020;1
1651969;9000;19/02/2020;1
1651969;9000;20/02/2020;1
1651969;9000;21/02/2020;1
1651969;9000;22/02/2020;1
1651969;9000;23/02/2020;1
1651969;9000;24/02/2020;1
1651969;9000;25/02/2020;1
1651969;9000;26/02/2020;1
1651969;9000;27/02/2020;1
1651969;9000;28/02/2020;1
1651969;9000;29/02/2020;1
1651969;9000;01/03/2020;1
1624304;9000;02/03/2020;1
1624304;9000;03/03/2020;1
1624304;9000;04/03/2020;1
1624304;9000;05/03/2020;1
1624304;9000;06/03/2020;1
1646463;9000;10/02/2020;1
1646463;9000;11/02/2020;1
1646463;9000;12/02/2020;1
1646463;9000;13/02/2020;1
1646463;9000;14/02/2020;1
1646463;9000;15/02/2020;1
1646463;9000;16/02/2020;1
1646463;9000;17/02/2020;1
1646463;9000;18/02/2020;1
1646463;9000;19/02/2020;1
1646463;9000;20/02/2020;1
1646463;9000;21/02/2020;1
1646463;9000;22/02/2020;1
1646463;9000;23/02/2020;1
1711374;9001;07/02/2020;1
1711374;9001;08/02/2020;1
1711374;9001;09/02/2020;1
1711374;9001;10/02/2020;1
1711374;9001;11/02/2020;1
1711374;9001;12/02/2020;1
1711374;9001;13/02/2020;1
1711374;9001;14/02/2020;1
1711374;9001;15/02/2020;1
1711374;9001;16/02/2020;1
1711374;9000;18/02/2020;1
1711374;9000;19/02/2020;1
1711374;9000;20/02/2020;1
1711374;9000;21/02/2020;1
1711374;9000;22/02/2020;1
1711374;9000;23/02/2020;1
1711374;9000;24/02/2020;1
1711374;9000;25/02/2020;1
1711374;9000;26/02/2020;1
1711374;9000;27/02/2020;1
1711374;9000;28/02/2020;1
1711374;9000;29/02/2020;1
1711374;9000;01/03/2020;1
1711374;9000;02/03/2020;1
1693501;9000;07/02/2020;1
1693501;9000;08/02/2020;1
1693501;9000;09/02/2020;1
1693501;9001;06/03/2020;1
1787932;9001;22/02/2020;1
1730485;9001;28/02/2020;1
1730485;9006;04/03/2020;1
1730485;9001;06/03/2020;1
1709241;9001;18/02/2020;1
1709241;9001;19/02/2020;1
1710111;9000;02/03/2020;1
1710111;9000;03/03/2020;1
1710111;9000;04/03/2020;1
1710111;9000;05/03/2020;1
1710111;9000;06/03/2020;1
1748391;9000;02/03/2020;1
1748391;9000;03/03/2020;1
1748391;9000;04/03/2020;1
1748391;9000;05/03/2020;1
1748391;9000;06/03/2020;1
1710777;9000;10/02/2020;1
1710777;9000;11/02/2020;1
1710777;9000;12/02/2020;1
1710777;9000;13/02/2020;1
1710777;9000;14/02/2020;1
1710777;9000;15/02/2020;1
1710777;9000;16/02/2020;1
1710777;9000;17/02/2020;1
1710777;9000;18/02/2020;1
1710777;9000;19/02/2020;1
1710777;9000;20/02/2020;1
1710777;9000;21/02/2020;1
1710777;9000;22/02/2020;1
1710777;9000;23/02/2020;1
60016962;9000;07/02/2020;1
60016962;9000;08/02/2020;1
60016962;9000;09/02/2020;1
60016962;9000;10/02/2020;1
60016962;9000;11/02/2020;1
60016962;9000;12/02/2020;1
60016962;9000;13/02/2020;1
60016962;9000;14/02/2020;1
60016962;9000;15/02/2020;1
60016962;9000;16/02/2020;1
1717703;9000;07/02/2020;1
1717703;9000;08/02/2020;1
1717703;9000;09/02/2020;1
1717703;9000;10/02/2020;1
1717703;9000;11/02/2020;1
1717703;9000;12/02/2020;1
1717703;9000;13/02/2020;1
1717703;9000;14/02/2020;1
1717703;9000;15/02/2020;1
1717703;9000;16/02/2020;1
1717703;9000;17/02/2020;1
1717703;9000;18/02/2020;1
1717703;9000;19/02/2020;1
1717703;9000;20/02/2020;1
1717703;9000;21/02/2020;1
1717703;9000;22/02/2020;1
1717703;9000;23/02/2020;1
1663480;9000;10/02/2020;1
1663480;9000;11/02/2020;1
1663480;9000;12/02/2020;1
1663480;9000;13/02/2020;1
1663480;9000;14/02/2020;1
1663480;9000;15/02/2020;1
1663480;9000;16/02/2020;1
1663480;9000;17/02/2020;1
1663480;9000;18/02/2020;1
1663480;9000;19/02/2020;1
1663480;9000;20/02/2020;1
1663480;9000;21/02/2020;1
1663480;9000;22/02/2020;1
1663480;9000;23/02/2020;1
1659872;9000;07/02/2020;1
1659872;9000;08/02/2020;1
1659872;9000;10/02/2020;1
1659872;9000;11/02/2020;1
1659872;9000;12/02/2020;1
1659872;9000;13/02/2020;1
1659872;9000;14/02/2020;1
1659872;9000;15/02/2020;1
1659872;9000;17/02/2020;1
1659872;9000;18/02/2020;1
1659872;9000;19/02/2020;1
1659872;9000;20/02/2020;1
1659872;9000;21/02/2020;1
1659872;9000;24/02/2020;1
1695052;9000;07/02/2020;1
1695052;9000;08/02/2020;1
1695052;9000;09/02/2020;1
1695052;9000;10/02/2020;1
1695052;9000;11/02/2020;1
1695052;9000;12/02/2020;1
1695052;9000;13/02/2020;1
1695052;9000;14/02/2020;1
1695052;9000;15/02/2020;1
1695052;9000;16/02/2020;1
1695052;9000;17/02/2020;1
1695052;9000;18/02/2020;1
1695052;9000;19/02/2020;1
1695052;9000;20/02/2020;1
1695052;9000;21/02/2020;1
1695052;9000;22/02/2020;1
1695052;9000;23/02/2020;1
1695052;9000;24/02/2020;1
1695052;9000;25/02/2020;1
1695052;9000;26/02/2020;1
1695052;9000;27/02/2020;1
1695052;9000;28/02/2020;1
1695052;9000;29/02/2020;1
1681496;9000;10/02/2020;1
1681496;9000;11/02/2020;1
1681496;9000;12/02/2020;1
1681496;9000;13/02/2020;1
1681496;9000;14/02/2020;1
1681496;9000;15/02/2020;1
1681496;9000;16/02/2020;1
1681496;9000;17/02/2020;1
1681496;9000;18/02/2020;1
1681496;9000;19/02/2020;1
1681496;9000;20/02/2020;1
1681496;9000;21/02/2020;1
1681496;9000;22/02/2020;1
1681496;9000;23/02/2020;1
1653031;9000;10/02/2020;1
1653031;9000;11/02/2020;1
1653031;9000;12/02/2020;1
1653031;9000;13/02/2020;1
1653031;9000;14/02/2020;1
1653031;9000;15/02/2020;1
1653031;9000;16/02/2020;1
1653031;9000;17/02/2020;1
1653031;9000;18/02/2020;1
1653031;9000;19/02/2020;1
1653031;9000;20/02/2020;1
1653031;9000;21/02/2020;1
1653031;9000;22/02/2020;1
1653031;9000;23/02/2020;1
1668501;9000;10/02/2020;1
1668501;9000;11/02/2020;1
1668501;9000;12/02/2020;1
1668501;9000;13/02/2020;1
1668501;9000;14/02/2020;1
1668501;9000;15/02/2020;1
1668501;9000;16/02/2020;1
1668501;9000;17/02/2020;1
1668501;9000;18/02/2020;1
1668501;9000;19/02/2020;1
1668501;9000;20/02/2020;1
1668501;9000;21/02/2020;1
1668501;9000;22/02/2020;1
1668501;9000;23/02/2020;1
1716382;9001;07/02/2020;1
1716382;9001;08/02/2020;1
1716382;9001;09/02/2020;1
1716382;9001;10/02/2020;1
1716382;9001;11/02/2020;1
1716382;9001;12/02/2020;1
1716382;9001;13/02/2020;1
1716382;9001;14/02/2020;1
1716382;9001;15/02/2020;1
1716382;9001;16/02/2020;1
1716382;9001;17/02/2020;1
1716382;9001;18/02/2020;1
1716382;9001;19/02/2020;1
1716382;9001;20/02/2020;1
1716382;9001;21/02/2020;1
1716382;9001;22/02/2020;1
1716382;9001;23/02/2020;1
1716382;9001;24/02/2020;1
1716382;9001;25/02/2020;1
1716382;9001;26/02/2020;1
1716382;9001;27/02/2020;1
1716382;9001;28/02/2020;1
1716382;9001;29/02/2020;1
1716382;9001;01/03/2020;1
1716382;9001;02/03/2020;1
1716382;9001;03/03/2020;1
1716382;9001;04/03/2020;1
1716382;9001;05/03/2020;1
1716382;9001;06/03/2020;1
1679971;9000;07/02/2020;1
1659821;9000;07/02/2020;1
1659821;9000;08/02/2020;1
1659821;9000;09/02/2020;1
1659821;9000;10/02/2020;1
1659821;9000;11/02/2020;1
1659821;9000;12/02/2020;1
1659821;9000;13/02/2020;1
1659821;9000;14/02/2020;1
1659821;9000;15/02/2020;1
1659821;9000;16/02/2020;1
1699258;9007;21/02/2020;1
1679087;9001;07/02/2020;1
1679087;9000;11/02/2020;1
1679087;9000;12/02/2020;1
1679087;9000;13/02/2020;1
1679087;9000;14/02/2020;1
1679087;9000;15/02/2020;1
1679087;9000;16/02/2020;1
1679087;9000;17/02/2020;1
1679087;9000;18/02/2020;1
1679087;9000;19/02/2020;1
1679087;9000;20/02/2020;1
1679087;9000;21/02/2020;1
1679087;9000;22/02/2020;1
1679087;9000;23/02/2020;1
1679087;9000;24/02/2020;1
1679087;9000;25/02/2020;1
1679087;9000;26/02/2020;1
1679087;9000;27/02/2020;1
1679087;9000;28/02/2020;1
1679087;9000;29/02/2020;1
1679087;9000;02/03/2020;1
1679087;9006;03/03/2020;1
1711724;9000;07/02/2020;1
1711724;9000;08/02/2020;1
1711724;9000;09/02/2020;1
1711724;9000;10/02/2020;1
1711724;9000;11/02/2020;1
1711724;9000;12/02/2020;1
1711724;9000;13/02/2020;1
1711724;9000;14/02/2020;1
1711724;9000;15/02/2020;1
1711724;9000;16/02/2020;1
1625357;9001;07/02/2020;1
1625357;9001;08/02/2020;1
1625357;9001;09/02/2020;1
1625357;9001;10/02/2020;1
1625357;9001;11/02/2020;1
1625357;9001;12/02/2020;1
1625357;9001;13/02/2020;1
1625357;9001;14/02/2020;1
1625357;9001;15/02/2020;1
1625357;9001;16/02/2020;1
1625357;9001;17/02/2020;1
1625357;9001;18/02/2020;1
1625357;9001;19/02/2020;1
1625357;9001;20/02/2020;1
1625357;9001;21/02/2020;1
1625357;9001;22/02/2020;1
1625357;9001;23/02/2020;1
1625357;9001;24/02/2020;1
1625357;9001;25/02/2020;1
1625357;9001;26/02/2020;1
1625357;9001;27/02/2020;1
1625357;9001;28/02/2020;1
1625357;9001;29/02/2020;1
1625357;9001;01/03/2020;1
1625357;9001;02/03/2020;1
1625357;9001;03/03/2020;1
1625357;9001;04/03/2020;1
1625357;9001;05/03/2020;1
1625357;9001;06/03/2020;1
1609108;9000;02/03/2020;1
1609108;9000;03/03/2020;1
1609108;9000;04/03/2020;1
1609108;9000;05/03/2020;1
1609108;9000;06/03/2020;1
1698390;9000;07/02/2020;1
1698390;9000;08/02/2020;1
1698390;9000;09/02/2020;1
1698390;9000;10/02/2020;1
1698390;9000;11/02/2020;1
1698390;9000;12/02/2020;1
1698390;9000;13/02/2020;1
1698390;9000;14/02/2020;1
1698390;9000;15/02/2020;1
1698390;9000;16/02/2020;1
1698387;9000;07/02/2020;1
1698387;9000;08/02/2020;1
1698387;9000;09/02/2020;1
1698387;9000;10/02/2020;1
1698387;9000;11/02/2020;1
1698387;9000;12/02/2020;1
1698387;9000;13/02/2020;1
1698387;9000;14/02/2020;1
1698387;9000;15/02/2020;1
1698387;9000;16/02/2020;1
1683725;9001;04/03/2020;1
1683725;9001;05/03/2020;1
1740882;9000;07/02/2020;1
1740882;9000;08/02/2020;1
1740882;9000;09/02/2020;1
1740882;9000;10/02/2020;1
1740882;9000;11/02/2020;1
1740882;9000;12/02/2020;1
1740882;9000;13/02/2020;1
1740882;9000;14/02/2020;1
1740882;9000;15/02/2020;1
1740882;9000;16/02/2020;1
1726117;9000;17/02/2020;1
1726117;9000;18/02/2020;1
1726117;9000;19/02/2020;1
1726117;9000;20/02/2020;1
1726117;9000;21/02/2020;1
1726117;9000;22/02/2020;1
1726117;9000;23/02/2020;1
1726117;9000;24/02/2020;1
1726117;9000;25/02/2020;1
1726117;9000;26/02/2020;1
1726117;9000;27/02/2020;1
1726117;9000;28/02/2020;1
1726117;9000;29/02/2020;1
1726117;9000;01/03/2020;1
1709240;9006;22/02/2020;1
1694092;9000;10/02/2020;1
1694092;9000;11/02/2020;1
1694092;9000;12/02/2020;1
1694092;9000;13/02/2020;1
1694092;9000;14/02/2020;1
1694092;9000;15/02/2020;1
